feature1,feature2,feature3,label
156,326,275,0
0,372,870,0
0,362,8113,0
0,218,3183,0
0,216,784,0
0,206,1508,0
0,241,369,0
0,214,5839,0
0,232,622,0
0,315,1274,0
0,160,26177,0
0,362,5446,0
0,163,13872,0
0,343,755,0
0,285,1462,0
0,278,944,0
0,205,5739,0
0,229,4239,0
0,211,1039,0
0,201,424,0
0,212,308,0
0,315,15475,0
0,340,578,0
0,294,997,0
0,224,319,0
0,303,308,0
0,209,2184,0
0,250,1531,0
0,230,584,0
0,319,9940,0
0,294,744,0
146,199,318,0
0,298,2445,0
0,304,2887,0
0,226,2702,0
0,163,18275,0
0,207,2446,0
0,279,5075,0
0,317,1906,0
0,311,1473,0
0,197,1108,0
0,280,38766,0
0,315,1140,0
0,171,12721,0
0,254,696,0
0,210,7355,0
0,305,546,0
0,234,934,0
0,206,889,0
0,286,12816,0
0,326,673,0
0,152,412,0
0,248,534,0
0,318,14637,0
0,259,7339,0
0,290,3515,0
0,335,263,0
0,215,979,0
0,235,1721,0
0,305,2239,0
0,222,3740,0
0,223,2480,0
0,208,1132,0
0,223,391,0
0,235,937,0
0,312,1384,0
0,226,519,0
0,300,1409,0
0,308,757,0
0,204,24557,0
0,518,7112,0
0,269,1356,0
0,248,9341,0
0,274,11889,0
0,168,13008,0
0,321,619,0
0,241,1219,0
0,326,9534,0
0,255,5468,0
0,218,2750,0
0,298,44058,0
0,225,2431,0
0,214,3048,0
0,307,1075,0
0,204,1415,0
0,226,4451,0
0,155,3398,0
0,298,1054,0
0,233,1112,0
0,297,3552,0
0,240,755,0
0,261,2043,0
0,227,320,0
0,190,345,0
0,253,520,0
0,536,8957,0
0,237,1109,0
0,292,3300,0
0,223,636,0
0,244,2169,0
0,188,1364,0
0,197,253,0
0,246,1270,0
0,318,1605,0
0,226,305,0
0,223,1875,0
0,296,176,0
0,260,3695,0
0,318,6558,0
0,213,18647,0
0,153,4213,0
0,350,1318,0
0,343,1187,0
0,293,253,0
0,227,4929,0
0,277,471,0
0,332,284,0
0,233,933,0
0,189,525,0
0,310,430,0
0,247,2431,0
0,215,6367,0
0,317,11829,0
0,301,390,0
0,204,613,0
0,322,4137,0
0,308,3064,0
0,171,4369,0
0,259,1952,0
0,264,13096,0
0,294,1701,0
0,351,608,0
0,167,9680,0
0,318,2016,0
0,293,16564,0
0,151,14580,0
0,264,436,0
0,294,2472,0
0,200,5537,0
0,217,944,0
0,215,10319,0
0,252,331,0
0,216,1624,0
0,215,1315,0
0,295,15966,0
0,222,763,0
0,290,520,0
0,304,923,0
0,215,10156,0
0,206,1215,0
0,230,251,0
0,215,10499,0
0,257,933,0
0,230,1041,0
0,220,882,0
0,208,757,0
0,224,2109,0
0,164,394,0
0,231,617,0
0,293,882,0
0,257,505,0
0,328,1918,0
0,206,1232,0
0,241,5790,0
0,232,27554,0
0,230,389,0
0,304,12131,0
0,247,2280,0
0,217,3550,0
0,220,423,0
0,227,4146,0
0,292,506,0
0,209,797,0
0,309,183,0
0,212,313,0
0,245,9198,0
0,305,1699,0
0,306,383,0
0,195,3211,0
0,337,1992,0
0,339,420,0
0,300,1691,0
0,293,871,0
0,273,1244,0
0,297,1461,0
0,193,7134,0
0,340,327,0
0,287,1013,0
0,239,330,0
0,269,3497,0
0,154,585,0
0,332,6791,0
0,211,5278,0
0,191,6436,0
0,313,6356,0
0,320,1408,0
0,233,1380,0
0,196,7204,0
0,338,678,0
0,315,15974,0
0,239,2005,0
0,215,436,0
0,314,2454,0
0,203,8774,0
0,193,15732,0
0,207,786,0
0,314,2698,0
0,281,3465,0
0,281,7148,0
0,214,294,0
0,146,128,0
0,233,2117,0
0,233,2193,0
0,297,1959,0
0,217,5375,0
0,211,303,0
0,231,1672,0
0,256,10044,0
0,244,269,0
0,277,45284,0
0,299,1309,0
0,215,788,0
0,199,2605,0
0,221,13192,0
0,317,1660,0
0,315,1396,0
0,227,1748,0
0,303,26956,0
0,234,2507,0
0,226,654,0
0,241,2833,0
0,211,4046,0
0,235,261,0
0,309,378,0
0,251,384,0
0,276,805,0
0,344,6602,0
0,227,2214,0
0,295,788,0
0,278,2543,0
0,298,294,0
0,220,39435,0
0,307,1187,0
0,232,3390,0
0,225,1630,0
0,255,664,0
0,202,4841,0
0,321,3229,0
0,262,14597,0
0,261,617,0
0,217,5170,0
0,230,306,0
0,291,345,0
0,321,4517,0
0,242,370,0
0,341,279,0
0,273,3501,0
0,194,844,0
0,230,2874,0
0,309,3884,0
0,195,1227,0
0,223,2936,0
0,193,3081,0
0,363,2477,0
0,208,799,0
0,273,4091,0
0,291,1124,0
0,300,2787,0
0,238,370,0
0,246,775,0
0,302,8536,0
0,214,6572,0
0,284,2716,0
0,221,1718,0
0,249,260,0
0,245,312,0
0,284,578,0
0,223,2483,0
0,206,1246,0
0,321,1471,0
0,194,846,0
0,338,4167,0
0,307,1380,0
0,315,7246,0
0,161,747,0
0,322,1459,0
0,235,2507,0
0,178,14496,0
0,235,5140,0
0,228,13510,0
0,236,2267,0
0,253,338,0
0,215,2731,0
0,247,11422,0
0,251,271,0
0,261,32540,0
0,232,10622,0
0,230,480,0
0,291,989,0
0,374,4494,0
0,219,2237,0
0,242,2305,0
0,334,863,0
0,246,9275,0
0,187,8421,0
0,168,18232,0
0,223,3090,0
0,304,1380,0
0,295,937,0
0,225,673,0
0,317,4809,0
0,222,310,0
0,293,253,0
0,233,3222,0
0,195,5286,0
0,214,321,0
0,315,2090,0
0,228,2648,0
0,310,187,0
0,312,9284,0
0,269,35215,0
0,232,16899,0
0,225,523,0
0,227,1466,0
0,209,2446,0
0,179,14496,0
0,241,4869,0
0,204,269,0
0,238,510,0
0,209,3127,0
0,292,1713,0
0,212,544,0
0,224,9356,0
0,256,7546,0
0,315,788,0
0,227,2248,0
0,220,891,0
0,197,2966,0
0,218,8903,0
0,239,1343,0
0,288,462,0
0,290,2414,0
0,285,3790,0
0,230,261,0
0,213,21896,0
0,307,868,0
0,226,1404,0
0,248,3471,0
0,242,4185,0
0,312,32500,0
0,233,2698,0
0,156,11407,0
0,320,993,0
0,178,16767,0
0,284,6979,0
0,207,267,0
0,179,1597,0
0,220,1166,0
0,231,6250,0
0,290,2209,0
0,244,467,0
0,291,2825,0
0,312,2288,0
0,177,1332,0
0,335,365,0
0,243,1020,0
0,201,5197,0
0,201,3581,0
0,300,296,0
0,269,964,0
0,313,310,0
0,289,308,0
0,288,546,0
0,338,6137,0
0,355,2005,0
0,297,298,0
0,290,1048,0
0,305,2507,0
0,247,65916,0
0,300,2716,0
0,206,1491,0
0,292,769,0
0,336,261,0
216,329,278,0
0,228,1192,0
0,180,6719,0
0,213,858,0
0,301,1791,0
0,304,1380,0
0,327,299,0
0,204,1651,0
0,289,12640,0
0,217,423,0
0,180,1894,0
0,202,1576,0
0,306,259,0
0,290,46991,0
0,229,760,0
0,243,1012,0
0,237,7061,0
0,230,2507,0
0,226,475,0
0,257,6831,0
0,217,885,0
0,290,6619,0
0,228,2239,0
0,323,314,0
0,277,2816,0
0,233,1931,0
0,216,3783,0
0,242,332,0
0,334,599,0
0,261,498,0
0,236,191,0
0,237,7333,0
0,227,274,0
0,307,2124,0
0,160,170,0
0,206,291,0
0,309,2698,0
0,174,1984,0
0,236,6407,0
0,332,7355,0
0,305,2507,0
0,306,2507,0
0,207,298,0
0,195,13336,0
0,234,1469,0
0,227,10384,0
0,207,916,0
0,233,959,0
0,190,1630,0
0,197,1326,0
0,189,2543,0
0,214,1680,0
0,321,12615,0
0,308,1109,0
0,270,8367,0
0,336,1352,0
0,308,5140,0
0,269,451,0
0,286,2085,0
0,237,7091,0
0,310,7149,0
0,251,13668,0
0,216,1481,0
0,227,1928,0
0,189,7922,0
0,297,5122,0
0,218,658,0
0,145,31220,0
0,220,780,0
0,306,2507,0
0,304,573,0
0,175,13755,0
0,293,5915,0
0,322,14076,0
0,200,3485,0
0,296,1875,0
0,324,2335,0
0,214,671,0
0,203,302,0
0,385,229,0
0,162,5046,0
0,333,2593,0
0,232,27305,0
0,224,280,0
0,230,1481,0
0,284,31011,0
0,309,758,0
0,207,1382,0
0,270,617,0
0,213,966,0
0,160,2954,0
0,192,1911,0
0,274,334,0
0,297,753,0
0,320,1931,0
0,338,261,0
0,316,458,0
0,214,1492,0
0,197,6356,0
0,321,431,0
0,293,387,0
0,265,550,0
0,210,760,0
0,225,397,0
0,234,819,0
0,203,320,0
0,229,2090,0
0,250,12401,0
0,271,326,0
0,199,1611,0
0,208,280,0
0,219,321,0
0,311,924,0
0,254,4845,0
0,300,885,0
0,222,433,0
0,246,22625,0
0,189,296,0
0,151,2182,0
0,221,1244,0
0,216,4304,0
0,396,7619,0
0,248,1856,0
0,258,240,0
0,235,5816,0
0,247,5379,0
0,325,6479,0
0,229,438,0
0,256,757,0
0,310,754,0
0,207,589,0
0,260,8221,0
0,249,4323,0
0,295,4123,0
0,228,12062,0
0,302,296,0
0,317,195,0
0,225,333,0
0,353,1252,0
0,313,7641,0
0,192,947,0
0,347,1019,0
0,317,2253,0
0,238,396,0
0,276,622,0
0,345,1686,0
0,301,768,0
0,213,1432,0
0,263,272,0
0,283,3582,0
0,212,2467,0
0,269,250,0
0,299,21653,0
0,321,1484,0
0,261,10041,0
0,186,26985,0
0,233,294,0
0,347,3275,0
0,216,454,0
0,217,392,0
0,337,468,0
0,350,5365,0
0,317,1528,0
0,213,774,0
0,246,6611,0
0,239,3565,0
0,175,5532,0
0,229,1155,0
0,291,393,0
0,253,455,0
0,302,422,0
0,346,2321,0
0,237,934,0
0,236,1836,0
0,284,24212,0
0,318,2747,0
0,175,4895,0
0,295,2446,0
0,314,7048,0
0,307,2420,0
0,231,1301,0
0,200,1054,0
0,245,5974,0
0,237,2251,0
6,264,2424,0
0,301,6927,0
0,340,1293,0
0,316,274,0
0,201,1570,0
0,275,15875,0
0,191,522,0
0,306,3313,0
